Trend of Change,Floor,Rooms,Property Type,Block and Parcel,Transaction Price,Transaction Date,Area (m²),Address,Serial Number
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 43.6% ב 5.8 שנים","שתים עשרה, שלוש עשרה","6","דירה בבית קומות","6430-253-46","4,200,000 ₪","11/08/2020","170.2","קרן המוסיקה 2","175"
"","שלישית","4","דירה בבית קומות","6429-276-43","2,280,000 ₪","28/07/2020","107.6","עלי מוהר 2","176"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 55.6% ב 7.7 שנים","ראשונה","4","דירה בבית קומות","6429-283-3","2,630,000 ₪","23/07/2020","105.3","ג'ו עמר 10","177"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 198% ב 7.6 שנים","שניה","4","דירה בבית קומות","6429-282-7","4,870,000 ₪","22/07/2020","102.5","ג'ו עמר 9","178"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 31.7% ב 3.1 שנים","ראשונה","5","דירה בבית קומות","6429-299-6","3,030,000 ₪","13/07/2020","135","ג'ו עמר 2","179"
"","רביעית","4","דירה בבית קומות","6430-260-20","2,335,000 ₪","02/07/2020","102","אהוד מנור 4","180"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 64.5% ב 9.7 שנים","ראשונה","4","דירה בבית קומות","6430-264-4","2,500,000 ₪","24/06/2020","108.96","יאיר רוזנבלום 32","182"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 49.5% ב 9.6 שנים","שניה","6","דירה בבית קומות","6429-300-22","3,150,000 ₪","21/06/2020","159","דוד זהבי 14","183"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 76% ב 10 שנים","קרקע","5","דירת גן","6430-256-15","3,520,000 ₪","18/05/2020","112.32","משה סנה 25","184"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 80.5% ב 10.9 שנים","רביעית","5","דירה בבית קומות","6430-240-26","3,060,000 ₪","27/04/2020","128","סשה ארגוב 7","185"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 23.7% ב 5.3 שנים","שלישית","4","דירה בבית קומות","6430-259-23","2,350,000 ₪","26/04/2020","105.9","משה סנה 31","186"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 25.5% ב 3 שנים","קרקע","4","דירה בבית קומות","6429-299-2","2,785,000 ₪","25/04/2020","90","ג'ו עמר 2","187"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 37.6% ב 7.4 שנים","רביעית","4","דירה בבית קומות","6429-284-15","2,360,000 ₪","25/03/2020","90.6","משה וילנסקי 8","188"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 48.9% ב 8.8 שנים","חמישית","4","דירה בבית קומות","6430-229-17","2,435,000 ₪","19/03/2020","100","אהוד מנור 16","189"
"","רביעית","4","דירה","6429-276-46","2,330,000 ₪","08/03/2020","108.2","עלי מוהר 2","190"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 96.9% ב 10.5 שנים","קרקע","6","דירה בבית קומות","6430-233-2","3,840,000 ₪","03/03/2020","129.28","מאיר אריאל 12","192"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 33.3% ב 7 שנים","חמישית+ שישית","6","דירה בבית קומות","6430-276-16","3,225,000 ₪","01/03/2020","133.74","מאיר אריאל 13","193"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 64% ב 9.2 שנים","ראשונה","6","דירה בבית קומות","6429-293-5","3,100,000 ₪","27/02/2020","132.56","משה וילנסקי 9","194"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 70.1% ב 7.9 שנים","שישית","6","דירה בבית קומות","6430-223-35","3,163,000 ₪","04/02/2020","149.9","יאיר רוזנבלום 17","195"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 41.6% ב 5.6 שנים","רביעית וחמישית","6","דירת גג","6429-305-7","3,950,000 ₪","03/02/2020","160.95","דוד זהבי 5","196"
"","שניה","5","דירה בבית קומות","6429-285-8","2,810,000 ₪","30/01/2020","125.15","שושנה דמארי 1","197"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 43.4% ב 9.5 שנים","רביעית+חמישית","7","דירה בבית קומות","6430-259-13","3,700,000 ₪","29/01/2020","218.8","אהוד מנור 2","198"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 51.6% ב 9.5 שנים","שניה","4","דירה בבית קומות","6430-256-7","2,350,000 ₪","28/01/2020","106.68","קרן המוסיקה 4","199"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 37% ב 6.5 שנים","רביעית","4","דירה בבית קומות","6429-275-12","2,370,000 ₪","27/01/2020","101.05","יאיר רוזנבלום 3","200"
"","קומה ‎4‏","6","דירה בבית קומות","6430-243-11","2,950,000 ₪","02/01/2020","130.4","אהוד מנור 12","202"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 76.5% ב 10.5 שנים","ראשונה","4","דירה בבית קומות","6429-311-3","2,400,000 ₪","30/12/2019","88.8","דמארי שושנה 2","203"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 85.7% ב 8.4 שנים","קרקע","5","דירה בבית קומות","6429-299-14","3,250,000 ₪","05/12/2019","122","ג'ו עמר 2","204"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 69.2% ב 9.8 שנים","חמישית, שישית","6","דירה בבית קומות","6430-245-15","3,840,000 ₪","12/11/2019","147.1","אהוד מנור 23","205"
"","קומה ‎1‏","5","דירה בבית קומות","6430-269-2","3,490,000 ₪","06/11/2019","119.7","אהוד מנור 8","206"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 86.4% ב 11.6 שנים","חמישית","6","דירה בבית קומות","6430-276-53","3,100,000 ₪","03/11/2019","132.37","יאיר רוזנבלום 20","207"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 87.4% ב 10.3 שנים","שישית+ שביעית","6","דירה בבית קומות","6430-276-38","4,030,000 ₪","22/09/2019","169.34","מאיר אריאל 13","208"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 105.5% ב 11.7 שנים","קרקע","5","דירה בבית קומות","6430-276-20","3,200,000 ₪","15/09/2019","116.09","מאיר אריאל 13","209"
"tooltip 16 copy
							
								
									
										
											 
											 
										
									
								
							
						
						 -0.5% ב 3.2 שנים","שישית, שביעית","7","דירה בבית קומות","6430-233-18","3,700,000 ₪","05/09/2019","179.75","מאיר אריאל 12","210"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 27.4% ב 2.1 שנים","קרקע  + שמינית","6","דירה בבית קומות","6430-246-30","3,350,000 ₪","12/08/2019","133.36","יאיר רוזנבלום 8","212"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 61.6% ב 9.9 שנים","שישית+ שביעית","6","דירה בבית קומות","6430-276-57","3,540,000 ₪","21/07/2019","165.79","יאיר רוזנבלום 20","213"
"","שניה","5","דירה בבית קומות","6429-347-10","2,770,000 ₪","18/07/2019","140","עוזי חיטמן 9","214"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 61.2% ב 9.6 שנים","ראשונה","4","דירה בבית קומות","6429-299-5","2,290,000 ₪","16/07/2019","104","ג'ו עמר 2","215"
"","קומה ‎1‏","4","דירה בבית קומות","6430-243-18","2,740,000 ₪","09/07/2019","90.1","אהוד מנור 12","216"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 30.6% ב 4.1 שנים","שביעית, שמינית","6","דירת גג","6430-228-39","3,850,000 ₪","04/07/2019","178.75","יאיר רוזנבלום 18","217"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 66.7% ב 8.5 שנים","קרקע","6","דירת גן","6430-233-1","3,600,000 ₪","27/06/2019","136.35","מאיר אריאל 12","218"
"","שניה","6","דירה בבית קומות","6429-347-9","2,685,000 ₪","23/06/2019","140","עוזי חיטמן 9","219"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 38.3% ב 6.6 שנים","קרקע + שלישית","4","דירה בבית קומות","6430-246-8","2,350,000 ₪","21/05/2019","103.16","יאיר רוזנבלום 8","220"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 31.3% ב 5.5 שנים","ראשונה","5","דירה בבית קומות","6430-259-5","2,560,000 ₪","16/04/2019","126.6","אהוד מנור 2","222"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 58.4% ב 9.3 שנים","שניה","4","דירה בבית קומות","6430-249-16","2,200,000 ₪","10/04/2019","97.8","אברהם פררה 1","223"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 45.3% ב 6.4 שנים","קרקע + חמישית","5","דירה בבית קומות","6430-246-16","2,870,000 ₪","21/03/2019","133.54","יאיר רוזנבלום 8","224"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 18.5% ב 3.5 שנים","שניה","4","דירה בבית קומות","6429-287-6","2,270,000 ₪","25/02/2019","102.3","וילנסקי משה 17","225"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 38.8% ב 6.1 שנים","קרקע + שישית","6","דירה בבית קומות","6430-246-23","2,925,000 ₪","04/02/2019","133.42","יאיר רוזנבלום 8","226"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 43.7% ב 6.7 שנים","שלישית","4","דירה בבית קומות","6430-223-26","2,260,000 ₪","30/01/2019","104.7","יאיר רוזנבלום 17","227"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 44.4% ב 5.8 שנים","רביעית","6","דירה בבית קומות","6429-280-12","2,750,000 ₪","30/01/2019","145.5","משה וילנסקי 14","228"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 72.3% ב 9.6 שנים","שלישית","5","דירה בבית קומות","6429-309-9","2,700,000 ₪","03/01/2019","129.18","שמחה הולצברג 1","229"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 28.7% ב 4.1 שנים","רביעית","5","דירה בבית קומות","6429-303-29","2,800,000 ₪","21/12/2018","145","דוד זהבי 3","230"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 43.1% ב 4.6 שנים","רביעית, חמישית","6","דירת גג","6430-266-15","4,150,000 ₪","17/12/2018","195","יאיר רוזנבלום 34","232"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 30% ב 3.9 שנים","קומה ‎2‏","6","דירה בבית קומות","6430-254-4","2,885,000 ₪","16/12/2018","128.1","אהוד מנור 13","233"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 45.2% ב 7.1 שנים","שלישית","4","דירה בבית קומות","6430-240-9","2,250,000 ₪","16/11/2018","92","סשה ארגוב 7","234"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 53.1% ב 9 שנים","קרקע","6","דירה בבית קומות","6429-292-20","3,300,000 ₪","28/10/2018","123","ג'ו עמר 6","235"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 20% ב 1.7 שנים","ראשונה","4","דירה בבית קומות","6429-286-4","2,250,000 ₪","21/10/2018","107","דוד זהבי 18","236"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 89.6% ב 9.4 שנים","חמישית","5","דירה בבית קומות","6430-251-17","2,910,000 ₪","27/09/2018","130.41","אהוד מנור 15","237"
"","רביעית","4","קוטג' חד משפחתי","6429-344-0","2,250,000 ₪","21/09/2018","106","קרן המוסיקה 5","238"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 34.3% ב 3.5 שנים","קומה ‎3‏","5","דירה בבית קומות","6430-230-27","3,090,000 ₪","30/08/2018","160.8","יוסי בנאי 9","239"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 2.4% ב 3.1 שנים","רביעית + חמישית","6","דירה בבית קומות","6429-299-25","3,400,000 ₪","29/07/2018","207","ג'ו עמר 2","240"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 38.7% ב 6.8 שנים","ראשונה","5","דירת גן","6429-289-1","3,190,000 ₪","24/07/2018","120","משה וילנסקי 15","242"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 49.5% ב 7.9 שנים","רביעית + חמישית","6","דירה בבית קומות","6429-297-16","4,300,000 ₪","29/06/2018","234","דוד זהבי 10","243"
"tooltip 16 copy
							
								
									
										
											 
											 
										
									
								
							
						
						 -24.1% ב 8.8 שנים","חמישית","4","דירה בבית קומות","6429-293-19","2,210,000 ₪","28/06/2018","91.04","משה וילנסקי 9","244"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 42% ב 7.5 שנים","שניה+שלישית","7","דירה בבית קומות","6429-299-8","3,550,000 ₪","25/06/2018","198","ג'ו עמר 2","245"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 58% ב 5.9 שנים","ראשונה","6","דירה בבית קומות","6430-223-41","3,600,000 ₪","13/06/2018","132.7","יאיר רוזנבלום 17","246"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 91.9% ב 10.3 שנים","ראשונה","4","דירה בבית קומות","6430-276-3","2,280,000 ₪","29/05/2018","93.82","מאיר אריאל 13","247"
"","שלישית","4","דירה בבית קומות","6430-245-31","1,700,000 ₪","28/05/2018","103","אהוד מנור 23","248"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 42.5% ב 3.5 שנים","קומה ‎0‏","5","דירת גן","6429-301-2","3,250,000 ₪","23/05/2018","110.6","דוד זהבי 16","249"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 51.4% ב 8.3 שנים","שניה","6","דירה בבית קומות","6429-345-8","2,800,000 ₪","22/05/2018","144.8","משה וילנסקי 2","250"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 49.5% ב 6.5 שנים","ראשונה","5","קוטג' דו משפחתי","6429-290-3","2,870,000 ₪","01/05/2018","144.24","ג'ו עמר 5","252"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 31.3% ב 5.5 שנים","שניה","4","דירה בבית קומות","6429-280-42","2,150,000 ₪","25/04/2018","106.6","יאיר רוזנבלום 4","253"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 71.8% ב 8.9 שנים","שניה","4","דירה בבית קומות","6430-255-7","2,263,000 ₪","16/04/2018","105.25","אהוד מנור 11","254"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 42.6% ב 6.9 שנים","שניה","4","דירה בבית קומות","6430-229-8","2,310,000 ₪","27/03/2018","100","אהוד מנור 16","255"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 24.5% ב 5.5 שנים","רביעית","5","דירה בבית קומות","6429-311-12","2,740,000 ₪","22/03/2018","109.66","דמארי שושנה 2","256"
"","שלישית","4","דירה בבית קומות","6430-268-12","2,180,000 ₪","19/03/2018","100","אהוד מנור 10","257"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 76.6% ב 5.9 שנים","רביעית + חמישית","6","דירה בבית קומות","6429-299-11","3,355,000 ₪","18/03/2018","163","ג'ו עמר 2","258"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 25.8% ב 3.1 שנים","רביעית","6","דירה בבית קומות","6430-276-33","2,850,000 ₪","11/03/2018","130.67","מאיר אריאל 13","259"
"tooltip 16 copy
							
								
									
										
											 
											 
										
									
								
							
						
						 -22% ב 8.7 שנים","שלישית","4","דירה בבית קומות","6429-293-10","2,100,000 ₪","30/01/2018","90.6","משה וילנסקי 9","260"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 40.7% ב 5.4 שנים","חמישית","4","דירה בבית קומות","6430-268-17","2,300,000 ₪","24/01/2018","100","אהוד מנור 10","262"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 83.7% ב 10 שנים","חמישית+שישית","5","דירה בבית קומות","6430-276-54","3,400,000 ₪","22/01/2018","133.74","יאיר רוזנבלום 20","263"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 35.7% ב 3.1 שנים","שלישית","4","דירה בבית קומות","6430-276-48","2,250,000 ₪","16/01/2018","90.75","יאיר רוזנבלום 20","264"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 42.4% ב 5.3 שנים","שישית, שביעית","7","דירה בבית קומות","6429-280-54","3,558,000 ₪","01/01/2018","207.9","יאיר רוזנבלום 4","265"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 47.3% ב 7.5 שנים","ראשונה","6","דירה בבית קומות","6429-292-21","2,880,000 ₪","30/11/2017","127.96","ג'ו עמר 6","266"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 37% ב 6.5 שנים","רביעית","4","דירה בבית קומות","6430-229-16","2,280,000 ₪","24/11/2017","100","אהוד מנור 16","267"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 95.1% ב 9.9 שנים","שלישית","4","דירה בבית קומות","6430-276-9","2,330,000 ₪","21/11/2017","93.82","מאיר אריאל 13","268"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 60% ב 6.7 שנים","ראשונה","5","דירה בבית קומות","6430-233-24","2,800,000 ₪","07/11/2017","128.9","מאיר אריאל 12","269"
"","קומה ‎1‏","5","דירה בבית קומות","6429-301-5","2,400,000 ₪","15/10/2017","110.6","דוד זהבי 16","270"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 49.4% ב 7.6 שנים","רביעית","5","דירה בבית קומות","6430-233-33","2,600,000 ₪","24/09/2017","128.9","מאיר אריאל 12","272"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 39.4% ב 3.6 שנים","ראשונה","5","דירת גן","6429-276-2","3,050,000 ₪","05/09/2017","134.2","עלי מוהר 2","273"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 46% ב 8.6 שנים","שניה","4","דירה בבית קומות","6429-305-4","2,000,000 ₪","16/08/2017","107.58","דוד זהבי 5","274"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 39% ב 4.6 שנים","קרקע + שניה","4","דירה בבית קומות","6430-246-4","2,355,000 ₪","15/06/2017","103.16","יאיר רוזנבלום 8","275"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 66.9% ב 8.1 שנים","שניה","4","דירה בבית קומות","6429-309-7","2,270,000 ₪","11/06/2017","102.82","שמחה הולצברג 1","276"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 74.5% ב 8.1 שנים","שניה","5","דירה בבית קומות","6429-309-18","2,740,000 ₪","29/05/2017","129.18","שמחה הולצברג 3","277"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 54.3% ב 6 שנים","רביעית","5","דירה בבית קומות","6430-233-12","2,700,000 ₪","06/04/2017","125.1","מאיר אריאל 12","278"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 60.3% ב 7.6 שנים","שניה","5","דירה בבית קומות","6430-240-5","2,645,000 ₪","20/03/2017","125","סשה ארגוב 7","279"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 8.6% ב 2.9 שנים","שתים עשרה, שלוש עשרה","6","קוטג' דו משפחתי","6430-252-48","2,830,000 ₪","08/03/2017","135.53","אברהם פררה 7","280"
"","ראשונה","4","דירה בבית קומות","6429-300-18","2,350,000 ₪","22/02/2017","97","דוד זהבי 14","282"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 35.6% ב 7.4 שנים","שניה","5","דירה בבית קומות","6430-233-6","2,000,000 ₪","15/02/2017","125.1","מאיר אריאל 12","283"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 45.9% ב 4.7 שנים","רביעית","6","דירה בבית קומות","6429-274-10","2,798,000 ₪","13/02/2017","149.7","עלי מוהר 4","284"
"","ראשונה","5","דירה בבית קומות","6429-297-5","2,220,000 ₪","24/01/2017","139","דוד זהבי 10","285"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 40.2% ב 5.8 שנים","שניה","6","דירה בבית קומות","6430-259-7","2,650,000 ₪","04/01/2017","140.5","אהוד מנור 2","286"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 38.2% ב 4.6 שנים","קרקע","6","דירה בבית קומות","6430-259-15","2,875,000 ₪","29/12/2016","129","משה סנה 31","287"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 66.2% ב 7.5 שנים","שניה","4","דירה בבית קומות","6430-251-30","2,161,000 ₪","13/12/2016","106.07","אהוד מנור 17","288"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 36.8% ב 5.8 שנים","שניה","5","דירה בבית קומות","6429-290-7","2,640,000 ₪","30/11/2016","138.58","ג'ו עמר 5","289"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 48.9% ב 7 שנים","שלישית","4","דירה בבית קומות","6429-307-8","2,300,000 ₪","23/11/2016","103.4","דוד זהבי 15","290"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 34.6% ב 5.7 שנים","שלישית","5","דירה בבית קומות","6429-290-10","2,625,000 ₪","06/11/2016","138.58","ג'ו עמר 5","292"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 28.6% ב 2.9 שנים","רביעית","4","דירה בבית קומות","6429-287-12","2,250,000 ₪","06/11/2016","102.3","וילנסקי משה 17","293"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 46.5% ב 3.7 שנים","שישית","6","דירה בבית קומות","6429-280-18","2,900,000 ₪","04/11/2016","148.2","משה וילנסקי 14","294"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 42.9% ב 6.2 שנים","שלישית","4","דירה בבית קומות","6429-287-9","2,200,000 ₪","31/10/2016","102.3","וילנסקי משה 17","295"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 51.3% ב 7.9 שנים","ראשונה","4","דירה בבית קומות","6430-240-3","2,375,000 ₪","28/09/2016","92","סשה ארגוב 7","296"
"","שתים עשרה","5","דירה בבית קומות","6429-344-45","3,216,000 ₪","26/09/2016","123.65","קרן המוסיקה 5","297"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 75.3% ב 7.2 שנים","חמישית","5","דירה בבית קומות","6430-249-26","2,700,000 ₪","09/09/2016","124.42","אברהם פררה 1","298"
"","שביעית","5","דירה בבית קומות","6430-252-25","2,525,000 ₪","31/08/2016","125.1","אברהם פררה 7","299"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 107.8% ב 8.6 שנים","קרקע","5","דירה בבית קומות","6430-276-60","3,180,000 ₪","31/08/2016","117","יאיר רוזנבלום 22","300"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 42.6% ב 2.7 שנים","שביעית, שמינית","7","דירה בבית קומות","6429-276-58","3,650,000 ₪","20/07/2016","188","עלי מוהר 2","302"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 38.4% ב 6.7 שנים","חמישית ושישית","6","דירה בבית קומות","6429-345-15","3,460,000 ₪","18/07/2016","174.96","משה וילנסקי 2","303"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 38.9% ב 8.3 שנים","חמישית","6","דירה בבית קומות","6430-276-36","2,350,000 ₪","26/06/2016","132.37","מאיר אריאל 13","304"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 34.7% ב 5.2 שנים","חמישית","5","דירה בבית קומות","6430-233-15","2,350,000 ₪","17/06/2016","125.1","מאיר אריאל 12","305"
"","קומה ‎3‏","4","דירה בבית קומות","6429-308-10","2,150,000 ₪","05/06/2016","103.16","ללא כתובת","306"
"","קומה ‎0‏","5","דירה בבית קומות","6430-244-22","2,520,000 ₪","30/05/2016","116.65","ללא כתובת","307"
"","רביעית","5","דירה בבית קומות","6429-290-31","2,390,000 ₪","26/05/2016","129.65","ג'ו עמר 5","308"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 32.4% ב 1.5 שנים","שמינית, תשיעית","6","דירה בבית קומות","6429-276-29","3,430,000 ₪","19/05/2016","201","עלי מוהר 2","309"
"","קומה ‎2‏","4","דירה בבית קומות","6430-243-5","2,150,000 ₪","17/05/2016","107.1","אהוד מנור 12","310"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 31.1% ב 6.2 שנים","קרקע","6","דירת גן","6429-307-1","2,970,000 ₪","15/05/2016","131.45","דוד זהבי 15","312"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 36.2% ב 5.3 שנים","קרקע","6","דירה בבית קומות","6430-233-20","3,050,000 ₪","15/05/2016","130.9","מאיר אריאל 12","313"
"","שלישית","5","דירה בבית קומות","6430-267-22","2,900,000 ₪","10/05/2016","133.5","משה סנה 33","314"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 2.9% ב 0.2 שנים","קומה ‎1‏","7","דירה בבית קומות","6430-244-25","2,820,000 ₪","21/04/2016","101.8","ללא כתובת","315"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 20.8% ב 3.1 שנים","שלישית","4","דירה בבית קומות","6429-347-12","2,100,000 ₪","13/04/2016","99","עוזי חיטמן 9","316"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 30.4% ב 4.5 שנים","ראשונה","6","דירה בבית קומות","6429-290-5","2,490,000 ₪","10/04/2016","140.09","ג'ו עמר 5","317"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 38.3% ב 5.8 שנים","רביעית+חמישית","6","דירה בבית קומות","6430-256-26","3,500,000 ₪","07/04/2016","199.48","משה סנה 25","318"
"","קומה ‎5‏","4","דירה בבית קומות","6430-244-35","1,585,000 ₪","17/03/2016","99.4","ללא כתובת","319"
"","קומה ‎4‏","4","דירה","6430-244-12","1,585,000 ₪","16/03/2016","99.8","ללא כתובת","320"
"","קומה ‎3‏","4","דירה","6430-244-30","1,585,000 ₪","09/03/2016","99.55","ללא כתובת","322"
"","קומה ‎6‏","4","דירה","6430-244-17","1,585,000 ₪","08/03/2016","101.8","ללא כתובת","323"
"","קומה ‎3‏","4","דירה","6430-244-31","1,585,000 ₪","07/03/2016","101.8","ללא כתובת","324"
"","קומה ‎1‏","4","דירה בבית קומות","6430-244-24","1,585,000 ₪","03/03/2016","99.95","ללא כתובת","325"
"","קומה ‎6‏","4","דירה","6430-244-40","1,585,000 ₪","28/02/2016","101.8","ללא כתובת","326"
"","שישית, שביעית","6","דירה בבית קומות","6430-224-18","3,226,000 ₪","28/02/2016","189.5","ללא כתובת","327"
"","קומה ‎2‏","4","דירה","6430-244-28","1,585,000 ₪","24/02/2016","101.8","ללא כתובת","328"
"","קומה ‎6‏","4","דירה בבית קומות","6430-244-39","1,585,000 ₪","08/02/2016","99.95","ללא כתובת","329"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 46.5% ב 5.9 שנים","קרקע עליונה","5","דירה בבית קומות","6430-245-22","2,850,000 ₪","02/02/2016","114.98","אהוד מנור 23","330"
"","שניה","5","דירה בבית קומות","6429-306-2","2,400,000 ₪","13/01/2016","999","משה וילנסקי 3","332"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 41% ב 6.2 שנים","שלישית","4","דירה בבית קומות","6430-259-24","2,065,000 ₪","12/01/2016","103.6","משה סנה 31","333"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 54.8% ב 6.4 שנים","חמישית + שישית","6","דירה בבית קומות","6430-255-15","3,440,000 ₪","11/01/2016","177.65","אהוד מנור 11","334"
"","שניה","5","דירה בבית קומות","6429-306-1","2,330,000 ₪","10/01/2016","125","משה וילנסקי 3","335"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 44.7% ב 6.3 שנים","שניה","5","דירה בבית קומות","6430-255-8","2,330,000 ₪","30/12/2015","131.83","אהוד מנור 11","336"
"","חמישית","6","דירה בבית קומות","6430-276-74","2,700,000 ₪","24/12/2015","133.74","יאיר רוזנבלום 22","337"
"","קומה ‎7‏, קומה ‎8‏","7","דירה בבית קומות","6430-244-20","2,810,000 ₪","22/12/2015","181.4","ללא כתובת","338"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 53.5% ב 6.5 שנים","שלישית","4","דירה בבית קומות","6429-309-10","2,100,000 ₪","09/12/2015","102.82","שמחה הולצברג 1","339"
